Domain,Full Name,Title,LinkedIn Profile
https://www.todyl.com/,John Nellen,Founder & CEO,http://www.linkedin.com/in/jnellen
https://www.todyl.com/,Chris Weibel,Vice President Of Engineering,http://www.linkedin.com/in/chris-weibel-84b55b2
https://www.doola.com/,JP Pincheira,Co-Founder & Chief Technology Officer,http://www.linkedin.com/in/jp-pincheira-71a60b93
https://www.doola.com/,Al Morris,Global Head of Engineering,http://www.linkedin.com/in/al-morris-77ab341
https://www.doola.com/,Arjun Mahadevan,CEO,http://www.linkedin.com/in/mahadevanarjun
https://www.doola.com/,Aziz Bek Razakov,Head of Operations,https://www.linkedin.com/in/aziz-bek-razakov-0673b793/
https://arc.net,Jessi Carrier,Talent,http://www.linkedin.com/in/jessi-carrier-b95483101
https://arc.net,Salvatore Casale,Talent Operations Specialist,http://www.linkedin.com/in/salvcasale
https://arc.net,Hursh Agrawal,Co-founder,http://www.linkedin.com/in/hurshagrawal
https://arc.net,Josh Miller,CEO & Co-Founder,http://www.linkedin.com/in/josh-miller-b31259106
https://arc.net,Dolapo Falola,Head Of Engineering,http://www.linkedin.com/in/dolapo
https://arc.net,Tara Teich,Engineering Manager,http://www.linkedin.com/in/tarateich
https://weavix.com/,Jack Brown,Director of Talent,http://www.linkedin.com/in/jack-brown-phr-52572145
https://weavix.com/,David Kapic,Chief Operating Officer,http://www.linkedin.com/in/david-kapic-5071285
https://weavix.com/,Kevin Turpin,Chief Executive Officer,http://www.linkedin.com/in/kevin-turpin-3a697568
https://weavix.com/,Seth Phillips,Chief Technology Officer,http://www.linkedin.com/in/seth-phillips-4b90775
https://weavix.com/,Nick Abbott,Director of Operations,https://www.linkedin.com/in/nick-abbott52/
http://brain.ai,Jerry Yue,Founder and CEO,https://www.linkedin.com/in/jerry-sheng-yue/
http://brain.ai,Taiyan Hao,Interim Director of Engineering,https://www.linkedin.com/in/taiyanhao/
https://www.pdw.ai/,Ryan Gury,CEO & Co-Founder,http://www.linkedin.com/in/ryangury
https://www.pdw.ai/,Trevor Smith,Co-Founder,http://www.linkedin.com/in/trevorsmith19
https://www.pdw.ai/,Gregory Farmer,Chief of Staff,http://www.linkedin.com/in/gregory-farmer-681807198
https://www.pdw.ai/,James Slider,President/COO,http://www.linkedin.com/in/james-slider-33938b14a
https://www.pdw.ai/,Jim Menne,Senior Vice President Of Engineering,http://www.linkedin.com/in/jim-menne
https://www.pdw.ai/,Fuyuto Tanaka,CTO,http://www.linkedin.com/in/fuyuto-tanaka-125a5b123
https://amdilabs.com,David Okrongly,CEO,http://www.linkedin.com/in/david-okrongly-ph-d-b620017
https://askchapter.org/,Allie Cialeo,Talent Acquisition Lead,http://www.linkedin.com/in/alexandracialeo
https://askchapter.org/,Gabrielle Kensinger,Talent Acquisition Partner,http://www.linkedin.com/in/gabrielle-kensinger-67096b224
https://askchapter.org/,Corey Metzman,COO & Co-Founder,http://www.linkedin.com/in/corey-metzman-a1a87243
https://askchapter.org/,Cobi B.,CEO & Co-Founder,http://www.linkedin.com/in/cobibgantz
https://askchapter.org/,Ari Parker,Co-Founder,http://www.linkedin.com/in/ariparker
https://askchapter.org/,Sydney C.,Talent Partner,http://www.linkedin.com/in/sydney-mcroft
https://nacelle.com,Danielle Johnson,Chief of Staff,https://www.linkedin.com/in/daniellejohnson01/
https://nacelle.com,Brian Anderson,Founder and CEO,https://www.linkedin.com/in/brianvanderson/
https://nacelle.com,Steven SanSoucie,Sr. Director of People Operations,https://www.linkedin.com/in/stevesansoucie/
https://acreto.io/,,,
https://www.capstack.ai,Tzvika Perelmuter,Co-Founder & CTO,http://www.linkedin.com/in/tzvika-perelmuter-a08829121
https://www.capstack.ai,Michal Cieplinski,Founder & CEO,http://www.linkedin.com/in/michalcieplinski
https://www.nuvaira.com/,,,
http://moderawealth.com/,Tom Orecchio,Chief Executive Officer,http://www.linkedin.com/in/tom-orecchio-cfa-cfp-5968b44
http://moderawealth.com/,Harli Palme,Chief Operating Officer,http://www.linkedin.com/in/harli-palme-654bbb1a
http://moderawealth.com/,Jeanne Owens,Director Of Operations,http://www.linkedin.com/in/jeanne-owens-577422106
https://www.fieldguide.io,Chris Szymansky,Co-Founder / CTO,http://www.linkedin.com/in/chrisszymansky
https://www.fieldguide.io,John-Michael Diveris,Chief of Staff,http://www.linkedin.com/in/john-michael-diveris-98ba44147
https://www.fieldguide.io,Jin Chang,CEO,http://www.linkedin.com/in/jinwchang
https://www.fieldguide.io,Madeline Klecker,Engineering Manager,http://www.linkedin.com/in/madeline-klecker-03176313a
https://www.fieldguide.io,Natalie Amend,Recruiting Lead,https://www.linkedin.com/in/natalieamend/
https://www.fieldguide.io,Chris Szymansky,CTO,https://www.linkedin.com/in/chrisszymansky/
https://www.lumos.com/,Greg Little,President and CEO,http://www.linkedin.com/in/greg-little
